2026-02-16 04:30:59.566703	https://www.encodeproject.org/report/?type=File&file_format=bed&assay_title=eCLIP&biosample_ontology.term_name=K562&biosample_ontology.term_name=HepG2&target.label=HNRNPC&target.label=IGF2BP1&target.label=IGF2BP2&target.label=TIA1&target.label=HNRNPK&target.label=PCBP2&target.label=RBFOX2&target.label=TARDBP&target.label=QKI&target.label=SRSF1&target.label=SRSF9&target.label=RBM22&target.label=TRA2A&target.label=HNRNPL&target.label=LIN28B&target.label=FUS&target.label=MATR3&target.label=HNRNPA1&target.label=HNRNPM&target.label=NONO&target.label=U2AF2&target.label=EWSR1&target.label=PTBP1&limit=all
ID	Title	Accession	Dataset	Genome assembly	Technical replicates	Biological replicates	File Format	File type	File format type	File size	Assay term name	Biosample name	Organ	Simple biosample summary	Batch	Target label	Download URL	Derived from	Genome annotation	Library	Paired end identifier	Paired with	Preferred Default	Run type	Read length	Mapped read length (nt)	Cropped read length (nt)	Cropped read length tolerance (nt)	Mapped run type for bam files	Read length units	Output category	Output type	Index of	QC Metric	Lab	Project	Analysis step run	Date created	Analysis step version	Restricted file	Submitter comment	Status	Annotation type	Annotation subtype	Biochemical activity	Encyclopedia version
/files/ENCFF909VPB/	ENCFF909VPB	ENCFF909VPB	/experiments/ENCSR861GYE/	GRCh38	1_1	1	bed	bed narrowPeak	narrowPeak	1217343	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS362ASG/	LIN28B	/files/ENCFF909VPB/@@download/ENCFF909VPB.bed.gz	/files/ENCFF756VXR/,/files/ENCFF244QMW/		ENCLB173YRG			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:23:47.425661+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF990UNN/	ENCFF990UNN	ENCFF990UNN	/experiments/ENCSR456JJQ/	hg19	1_1	1	bed	bed narrowPeak	narrowPeak	1376742	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS362ASG/	RBM22	/files/ENCFF990UNN/@@download/ENCFF990UNN.bed.gz	/files/ENCFF755XIB/,/files/ENCFF091VIF/		ENCLB371PGL											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:36:39.977819+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF823UGV/	ENCFF823UGV	ENCFF823UGV	/experiments/ENCSR970NKP/	hg19	2_1	2	bed	bed narrowPeak	narrowPeak	1191047	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS253VOZ/	LIN28B	/files/ENCFF823UGV/@@download/ENCFF823UGV.bed.gz	/files/ENCFF134BOJ/,/files/ENCFF981KYA/		ENCLB914PVV											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:24:56.922519+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF874BAL/	ENCFF874BAL	ENCFF874BAL	/experiments/ENCSR290VLT/	hg19	1_1	1	bed	bed narrowPeak	narrowPeak	2583330	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS074YUC/	MATR3	/files/ENCFF874BAL/@@download/ENCFF874BAL.bed.gz	/files/ENCFF764PHF/,/files/ENCFF790VFN/		ENCLB985KTR											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:48:25.502501+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF430RTZ/	ENCFF430RTZ	ENCFF430RTZ	/experiments/ENCSR893RAV/	hg19	1_1	1	bed	bed narrowPeak	narrowPeak	1911451	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS865VEQ/	U2AF2	/files/ENCFF430RTZ/@@download/ENCFF430RTZ.bed.gz	/files/ENCFF092WRE/,/files/ENCFF097VMD/		ENCLB060SHS											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:12:02.360240+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF615KJU/	ENCFF615KJU	ENCFF615KJU	/experiments/ENCSR154HRN/	hg19	1_1	1	bed	bed narrowPeak	narrowPeak	3326928	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS205QYW/	HNRNPA1	/files/ENCFF615KJU/@@download/ENCFF615KJU.bed.gz	/files/ENCFF012EDL/,/files/ENCFF335HAD/		ENCLB989WTG			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:12:49.392423+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF082VUD/	ENCFF082VUD	ENCFF082VUD	/experiments/ENCSR062NNB/	GRCh38	1_1	1	bed	bed narrowPeak	narrowPeak	1260153	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS283QAE/	IGF2BP2	/files/ENCFF082VUD/@@download/ENCFF082VUD.bed.gz	/files/ENCFF589JKO/,/files/ENCFF819GBX/		ENCLB968PKX											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:17:17.396812+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF243RQR/	ENCFF243RQR	ENCFF243RQR	/experiments/ENCSR202BFN/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	2250801	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS405FLI/	U2AF2	/files/ENCFF243RQR/@@download/ENCFF243RQR.bed.gz	/files/ENCFF033XVX/,/files/ENCFF825YLL/		ENCLB478DYX											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:19:00.506829+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF877UPN/	ENCFF877UPN	ENCFF877UPN	/experiments/ENCSR861PAR/	hg19	1_1	1	bed	bed narrowPeak	narrowPeak	520538	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS931MQO/	NONO	/files/ENCFF877UPN/@@download/ENCFF877UPN.bed.gz	/files/ENCFF171ATE/,/files/ENCFF347ECS/		ENCLB635FWC											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-04-05T16:48:43.331714+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			revoked				
/files/ENCFF241AOZ/	ENCFF241AOZ	ENCFF241AOZ	/experiments/ENCSR268ETU/	GRCh38	1_1	1	bed	bed narrowPeak	narrowPeak	819558	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS081NLE/	HNRNPK	/files/ENCFF241AOZ/@@download/ENCFF241AOZ.bed.gz	/files/ENCFF894NKS/,/files/ENCFF399CEH/		ENCLB535CAM											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:20:04.749608+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF514GGZ/	ENCFF514GGZ	ENCFF514GGZ	/experiments/ENCSR339FUY/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	1459492	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS859FFE/	PCBP2	/files/ENCFF514GGZ/@@download/ENCFF514GGZ.bed.gz	/files/ENCFF547AHN/,/files/ENCFF190ITO/		ENCLB874ISY											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:24:17.947154+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF606RXB/	ENCFF606RXB	ENCFF606RXB	/experiments/ENCSR584TCR/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	1298930	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS253VOZ/	TARDBP	/files/ENCFF606RXB/@@download/ENCFF606RXB.bed.gz	/files/ENCFF524PYO/,/files/ENCFF394DDJ/		ENCLB844WUK			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T19:23:44.882219+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF609IXO/	ENCFF609IXO	ENCFF609IXO	/experiments/ENCSR432XUP/	hg19	1_1	1	bed	bed narrowPeak	narrowPeak	1375186	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS831COV/	SRSF1	/files/ENCFF609IXO/@@download/ENCFF609IXO.bed.gz	/files/ENCFF374XWQ/,/files/ENCFF913MGS/		ENCLB361UOX											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:24:16.205457+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF253ZSN/	ENCFF253ZSN	ENCFF253ZSN	/experiments/ENCSR456JJQ/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	2502240	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS308ZPA/	RBM22	/files/ENCFF253ZSN/@@download/ENCFF253ZSN.bed.gz	/files/ENCFF169EKN/,/files/ENCFF615UKX/		ENCLB019FNY			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T20:25:13.809374+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF545NBF/	ENCFF545NBF	ENCFF545NBF	/experiments/ENCSR456JJQ/	GRCh38	1_1	1	bed	bed narrowPeak	narrowPeak	1331431	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS362ASG/	RBM22	/files/ENCFF545NBF/@@download/ENCFF545NBF.bed.gz	/files/ENCFF051SNH/,/files/ENCFF615UKX/		ENCLB371PGL											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T20:25:09.240784+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF972ZMJ/	ENCFF972ZMJ	ENCFF972ZMJ	/experiments/ENCSR295OKT/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	20400	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS931MQO/,/biosamples/ENCBS253VOZ/	RBM22	/files/ENCFF972ZMJ/@@download/ENCFF972ZMJ.bed.gz	/files/ENCFF391IBH/,/files/ENCFF045LAO/,/files/ENCFF269URO/,/files/ENCFF899HGF/,/files/ENCFF802LNA/,/files/ENCFF150ZOO/													annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/2fe8593d-f972-4708-aed8-a9f122fa0bfa/	2018-12-03T15:16:35.529971+00:00	/analysis-step-versions/eclip-merge-peaks-step-v-1-0/			released				
